team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
THE ULTIMATES;Lj;33;18;54.55;11847;359;23;0.7;7;0.21;57;1.73;72;2.18;270;8.18;54;1.64;21;0.64;31.94;406.34;51.04;80299;2433.3;53651;1625.79;26648;807.52;649;19.67;2327;70.52;21081;638.82;12164;368.61;8917;270.21;138;4.18;768;23.27;1120.22;33.95;1262.81;38.27;11046;334.73;12041;364.88;1873;56.76;1575.02;17590402;533042.5;4956.72;150.2;5071.48;153.68;1686.25;51.1;6924.48;209.83;3949.55;119.68;840.43;25.47;252.93;7.66;0.09;2792;84.61;3826;115.94;3894.2;118.01;3417.9;103.57;8296.59;251.41;7552.37;228.86;4162.02;126.12;5537.12;167.79;3788.34;114.8;2389;72.39;2745.79;2588.37;2895.94;3531.12;49;1.48;63;1.91
FURIA;Lostt.;31;17;54.84;13881;447.77;23;0.74;13;0.42;84;2.71;85;2.74;311;10.03;61;1.97;25;0.81;27.06;420.67;46.12;78646;2536.97;49845;1607.9;28801;929.06;607;19.58;2511;81;14297;461.19;6313;203.65;7984;257.55;74;2.39;699;22.55;1236.52;39.89;841.5;27.15;14463;466.55;10767;347.32;1155;37.26;1574.69;17041792;549735.25;4957.08;159.91;4288.03;138.32;2138.49;68.98;6227.51;200.89;4503.34;145.27;652.77;21.06;224.36;7.24;0.11;2051;66.16;3924.8;126.61;3374.3;108.85;2920.12;94.2;8463.51;273.02;7659.96;247.1;3723.6;120.12;5858.02;188.97;3364.44;108.53;2161.13;69.71;2634.05;2500.28;2757.54;3436.03;39;1.26;45;1.45
TEAM VITALITY;M0nkey M00n;25;14;56.00;8937;357.48;14;0.56;13;0.52;39;1.56;76;3.04;187;7.48;44;1.76;14;0.56;18.42;384.99;49.02;56593;2263.72;36550;1462;20043;801.72;423;16.92;1724;68.96;14329;573.16;7399;295.96;6930;277.2;89;3.56;599;23.96;817.09;32.68;740.71;29.63;7504;300.16;5978;239.12;1575;63;1524.44;12804353;512174.12;4141.45;165.66;3320.36;132.81;1386.11;55.44;4968.83;198.75;3230.56;129.22;648.55;25.94;150.12;6;0.12;1259;50.36;2917.1;116.68;2612.4;104.5;2165.88;86.64;6682.05;267.28;5216.6;208.66;3631.34;145.25;3797.01;151.88;2946.82;117.87;2104.09;84.16;2653.92;2577.68;2718.67;3470.37;35;1.4;42;1.68
GENG MOBIL 1;Majicbear !;20;9;45.00;7683;384.15;14;0.7;12;0.6;29;1.45;48;2.4;168;8.4;40;2;12;0.6;29.17;436.29;49.45;55157;2757.85;36377;1818.85;18780;939;440;22;1626;81.3;11783;589.15;6653;332.65;5130;256.5;77;3.85;436;21.8;1075.37;53.77;724.48;36.22;8834;441.7;8045;402.25;1027;51.35;1558.58;11133258;556662.88;3383.59;169.18;2836.11;141.81;1308.09;65.4;3992.89;199.64;2845.2;142.26;689.66;34.48;134.63;6.73;0.11;1213;60.65;2472.9;123.65;2275.9;113.8;2193.69;109.68;5334.04;266.7;5102.5;255.12;2425.27;121.26;3869.98;193.5;2275.91;113.8;1381.86;69.09;2802.69;2682.98;2909.18;3874.16;36;1.8;28;1.4
TEAM SECRET;Motta;17;6;35.29;6167;362.76;11;0.65;13;0.76;23;1.35;40;2.35;148;8.71;43;2.53;10;0.59;27.5;411.09;46.22;43559;2562.29;28384;1669.65;15175;892.65;340;20;1340;78.82;11279;663.47;5734;337.29;5545;326.18;63;3.71;486;28.59;755.46;44.44;530.04;31.18;6482;381.29;6004;353.18;681;40.06;1534.88;9198321;541077.69;2900.16;170.6;2515.83;147.99;919.37;54.08;3541.74;208.34;2329.9;137.05;463.76;27.28;164.73;9.69;0.11;1549;91.12;1940.8;114.16;2104.6;123.8;1897.33;111.61;4438.05;261.06;3775.61;222.09;2559.76;150.57;2674.87;157.35;2141.41;125.97;1519.11;89.36;2817.26;2727.37;2901.18;3657.63;29;1.71;24;1.41
TWISTED MINDS;Nwpo.;24;14;58.33;10665;444.38;26;1.08;17;0.71;39;1.62;73;3.04;204;8.5;54;2.25;27;1.12;35.62;494.13;49.88;72371;3015.46;51247;2135.29;21124;880.17;645;26.88;1927;80.29;18212;758.83;11361;473.38;6851;285.46;136;5.67;621;25.88;1002.46;41.77;1254.26;52.26;14942;622.58;14098;587.42;2354;98.08;1783.15;14580347;607514.44;2555.5;106.48;3483.7;145.15;2667.15;111.13;4217.26;175.72;3810.05;158.75;678.99;28.29;164.89;6.87;0.1;1648;68.67;2832.4;118.02;2887.3;120.3;2230.11;92.92;6476.21;269.84;5632.41;234.68;3073.9;128.08;4205.72;175.24;2675.53;111.48;1824.99;76.04;3037.05;2844.39;3226.64;3836.07;31;1.29;22;0.92
GENG MOBIL 1;Retals;20;9;45.00;7009;350.45;10;0.5;15;0.75;32;1.6;44;2.2;168;8.4;40;2;18;0.9;22.73;408;50.49;51421;2571.05;37824;1891.2;13597;679.85;491;24.55;1177;58.85;11526;576.3;7402;370.1;4124;206.2;86;4.3;367;18.35;900.02;45;1017.96;50.9;8958;447.9;11430;571.5;1284;64.2;1558.36;11143369;557168.44;3364.45;168.22;2777.01;138.85;1393.86;69.69;4254.6;212.73;2769.91;138.5;510.81;25.54;150.05;7.5;0.09;1586;79.3;2312.2;115.61;2514.4;125.72;2361.01;118.05;5174.3;258.71;5092.06;254.6;2443.26;122.16;3698.44;184.92;2461.27;123.06;1375.58;68.78;3005.06;2891.41;3116.74;3944.58;42;2.1;27;1.35
COMPLEXITY;Reysbull;15;6;40.00;6369;424.6;8;0.53;10;0.67;35;2.33;39;2.6;146;9.73;32;2.13;16;1.07;20.51;402.37;49.65;39202;2613.47;26274;1751.6;12928;861.87;328;21.87;1165;77.67;8141;542.73;4295;286.33;3846;256.4;53;3.53;345;23;584.06;38.94;570.91;38.06;5260;350.67;6673;444.87;1089;72.6;1503.02;8478164;565210.94;2841.91;189.46;2289.83;152.66;788.26;52.55;3440.75;229.38;2055.96;137.06;423.28;28.22;92.37;6.16;0.12;746;49.73;2141.8;142.79;1635.5;109.03;1678.28;111.89;4241.75;282.78;3905.98;260.4;2014.01;134.27;2885.42;192.36;1904.78;126.99;1129.79;75.32;2836.65;2746.46;2915.33;3616.1;13;0.87;24;1.6
HELFIE CHIEFS;Rezears;11;2;18.18;4039;367.18;3;0.27;7;0.64;19;1.73;37;3.36;94;8.55;40;3.64;20;1.82;8.11;379.55;47.66;25149;2286.27;17272;1570.18;7877;716.09;207;18.82;687;62.45;4878;443.45;2540;230.91;2338;212.55;29;2.64;201;18.27;456.97;41.54;521.22;47.38;2339;212.64;3471;315.55;425;38.64;1547.79;5719294;519935.81;1815.84;165.08;1496.23;136.02;628.84;57.17;1968.03;178.91;1683.8;153.07;289.09;26.28;85.6;7.78;0.11;780;70.91;1383.5;125.77;1171.2;106.47;1098.4;99.85;2842.49;258.41;2647.47;240.68;1293.44;117.59;1980.18;180.02;1181.2;107.38;779.5;70.86;2773.24;2624.16;2894.39;3694.55;14;1.27;15;1.36
TEAM FALCONS;Rw9;29;17;58.62;12901;444.86;29;1;23;0.79;51;1.76;91;3.14;222;7.66;55;1.9;14;0.48;31.87;456.13;47.83;78556;2708.83;54233;1870.1;24323;838.72;651;22.45;2116;72.97;16888;582.34;9282;320.07;7606;262.28;108;3.72;650;22.41;1266.42;43.67;955.37;32.94;13051;450.03;11270;388.62;1640;56.55;1683.83;16515984;569516.69;3718.35;128.22;4137.99;142.69;2539.36;87.56;5257.39;181.29;4199.65;144.82;938.67;32.37;201.62;6.95;0.08;2492;85.93;3439.7;118.61;3435.4;118.46;2820.09;97.24;7575.65;261.23;6522.14;224.9;3873.53;133.57;4754.33;163.94;3404.18;117.39;2237.2;77.14;2877.84;2741.22;3024.5;3720.61;31;1.07;47;1.62
LUMINOSITY;Sphinx;19;7;36.84;6514;342.84;10;0.53;19;1;24;1.26;48;2.53;166;8.74;57;3;18;0.95;20.83;464.34;43.3;51570;2714.21;35236;1854.53;16334;859.68;394;20.74;1401;73.74;12219;643.11;7019;369.42;5200;273.68;77;4.05;431;22.68;1177.01;61.95;492.28;25.91;6378;335.68;4283;225.42;653;34.37;1577.14;10112791;532252.19;2885.37;151.86;2896.73;152.46;1073.89;56.52;3504.1;184.43;2789.52;146.82;562.38;29.6;151.2;7.96;0.1;1460;76.84;2041.4;107.44;2320;122.11;2108.29;110.96;4747.72;249.88;4380.75;230.57;2475.24;130.28;3179.73;167.35;2248.1;118.32;1428.16;75.17;2683.25;2570.58;2787.64;3650.41;35;1.84;24;1.26
FUT ESPORTS;TORRES8232;14;5;35.71;5927;423.36;10;0.71;5;0.36;34;2.43;33;2.36;150;10.71;39;2.79;12;0.86;30.3;419.84;50.32;36348;2596.29;23309;1664.93;13039;931.36;283;20.21;1150;82.14;7368;526.29;4194;299.57;3174;226.71;51;3.64;290;20.71;478.62;34.19;566.32;40.45;5053;360.93;5499;392.79;1013;72.36;1534.9;7441012;531500.88;2385.78;170.41;1952.49;139.46;798.79;57.06;2863.34;204.52;1926.09;137.58;347.62;24.83;111.99;8;0.09;1239;88.5;1848.4;132.03;1505.7;107.55;1356.72;96.91;3780.32;270.02;3722.29;265.88;1414.74;101.05;2925.98;209;1407.81;100.56;803.27;57.38;2874;2825.64;2914.43;3548.85;12;0.86;21;1.5
WILDCARD;Torsos;17;6;35.29;5866;345.06;11;0.65;12;0.71;23;1.35;44;2.59;166;9.76;52;3.06;12;0.71;25;485.51;45.24;51333;3019.59;35562;2091.88;15771;927.71;405;23.82;1415;83.24;13453;791.35;7493;440.76;5960;350.59;83;4.88;520;30.59;1111.42;65.38;313.54;18.44;9984;587.29;4860;285.88;850;50;1657.01;10119236;595249.19;2411.85;141.87;2557.97;150.47;1530.5;90.03;3278.21;192.84;2700.38;158.85;521.71;30.69;138.11;8.12;0.08;1670;98.24;1954.4;114.96;2243.6;131.98;2182.66;128.39;4317.68;253.98;3872.36;227.79;2627.97;154.59;2840.8;167.11;2047.23;120.43;1612.3;94.84;2794.23;2709.28;2882.43;3660.94;42;2.47;18;1.06
FUT ESPORTS;VKSailen;14;5;35.71;5247;374.79;8;0.57;6;0.43;28;2;32;2.29;150;10.71;39;2.79;11;0.79;25;472.46;47.68;40440;2888.57;29419;2101.36;11021;787.21;353;25.21;954;68.14;9431;673.64;6439;459.93;2992;213.71;76;5.43;267;19.07;781.74;55.84;560.25;40.02;5527;394.79;6180;441.43;1233;88.07;1615.58;7864371;561740.81;2024.64;144.62;2155.15;153.94;973.51;69.54;2613.95;186.71;2182.1;155.86;357.24;25.52;95.99;6.86;0.1;947;67.64;1474.2;105.3;1936.4;138.31;1664.81;118.91;3488.48;249.18;3506.36;250.45;1646.91;117.64;2661.52;190.11;1524.27;108.88;967.49;69.11;2779.07;2588.57;2926.39;3609.26;29;2.07;19;1.36
KARMINE CORP;Vatira.;26;21;80.77;9274;356.69;13;0.5;20;0.77;47;1.81;66;2.54;187;7.19;32;1.23;9;0.35;19.7;408.76;49.78;62368;2398.77;40479;1556.88;21889;841.88;477;18.35;1914;73.62;11824;454.77;5532;212.77;6292;242;64;2.46;548;21.08;1208.5;46.48;828.76;31.88;6358;244.54;7736;297.54;904;34.77;1519.91;13242058;509309.94;4218.54;162.25;3580.94;137.73;1337.7;51.45;4785.86;184.07;3704.32;142.47;647;24.88;217.31;8.36;0.11;1988;76.46;3238.6;124.56;2744.3;105.55;2054.63;79.02;7082.52;272.4;5845.38;224.82;3291.74;126.61;4195.64;161.37;3164.34;121.71;1777.12;68.35;2870.54;2809.98;2916.61;3614.44;28;1.08;34;1.31
WILDCARD;bananahead;17;6;35.29;7398;435.18;16;0.94;11;0.65;30;1.76;46;2.71;166;9.76;52;3.06;13;0.76;34.78;393.64;49.98;42885;2522.65;29229;1719.35;13656;803.29;355;20.88;1180;69.41;10137;596.29;5967;351;4170;245.29;70;4.12;357;21;635.22;37.37;616.91;36.29;5519;324.65;6395;376.18;1138;66.94;1572.9;9591543;564208.44;2821.44;165.97;2590.82;152.4;1076.23;63.31;3161.54;185.97;2779.44;163.5;547.49;32.21;150.62;8.86;0.09;1702;100.12;2103.4;123.73;1968.3;115.78;1917.7;112.81;4570.82;268.87;4068.67;239.33;2419.84;142.34;2993.17;176.07;1997.54;117.5;1497.77;88.1;2757.04;2575.7;2929.86;3639.81;21;1.24;21;1.24
COMPLEXITY;cRR^^;15;6;40.00;5550;370;8;0.53;8;0.53;26;1.73;36;2.4;146;9.73;32;2.13;9;0.6;22.22;480.3;47.98;46603;3106.87;31826;2121.73;14777;985.13;374;24.93;1301;86.73;13910;927.33;8476;565.07;5434;362.27;95;6.33;475;31.67;889.49;59.3;502.23;33.48;8594;572.93;5969;397.93;1150;76.67;1649.87;9321903;621460.19;2175.23;145.02;2534.28;168.95;1212.95;80.86;3124.36;208.29;2285.31;152.35;512.83;34.19;124.17;8.28;0.11;1181;78.73;1705.7;113.71;2228.4;148.56;2009.88;133.99;3912.6;260.84;3594.31;239.62;2328.17;155.21;2589.95;172.66;1950.09;130.01;1382.43;92.16;2650.47;2493.41;2814.55;3644.8;23;1.53;23;1.53
KARMINE CORP;dralii;26;21;80.77;11526;443.31;29;1.12;15;0.58;42;1.62;103;3.96;187;7.19;32;1.23;8;0.31;28.16;438.42;53.26;66274;2549;44994;1730.54;21280;818.46;548;21.08;1877;72.19;17824;685.54;10235;393.65;7589;291.88;119;4.58;659;25.35;935.14;35.97;806.56;31.02;8828;339.54;10247;394.12;1656;63.69;1602.3;14023440;539363.06;3729.44;143.44;3656.01;140.62;1795.1;69.04;4584.21;176.32;3782.81;145.49;813.56;31.29;220.03;8.46;0.11;2079;79.96;2774.2;106.7;3150.7;121.18;2347.82;90.3;6832.75;262.8;5515.23;212.12;3665.36;140.98;4026.11;154.85;2915.95;112.15;2238.5;86.1;2806.23;2649.21;2959.13;3655.14;37;1.42;23;0.88
HELFIE CHIEFS;hntr;11;2;18.18;2972;270.18;6;0.55;4;0.36;13;1.18;16;1.45;94;8.55;40;3.64;11;1;37.5;410.44;43.04;25846;2349.64;15836;1439.64;10010;910;183;16.64;877;79.73;5338;485.27;2670;242.73;2668;242.55;29;2.64;235;21.36;588.53;53.5;252.69;22.97;2838;258;2539;230.82;256;23.27;1549.01;5700909;518264.47;1756.58;159.69;1615.8;146.89;556.4;50.58;2326.27;211.48;1386.84;126.08;215.67;19.61;65.23;5.93;0.09;736;66.91;1351.8;122.89;1246.4;113.31;1179.48;107.23;2749.3;249.94;2620.4;238.22;1308.38;118.94;1885.61;171.42;1319.07;119.92;724.09;65.83;3003.64;2868.93;3109.12;3742.15;11;1;17;1.55
