team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
REDEMPTION;"   JWeyts   ";6;0;0.00;1443;240.5;2;0.33;1;0.17;6;1;12;2;80;13.33;31;5.17;6;1;16.67;381.37;48.95;14451;2408.5;10337;1722.83;4114;685.67;128;21.33;355;59.17;3447;574.5;2212;368.67;1235;205.83;27;4.5;103;17.17;219.21;36.53;274.32;45.72;2033;338.83;2055;342.5;302;50.33;1558.44;3111983;518663.84;984.35;164.06;779.86;129.98;396.73;66.12;1149.13;191.52;887.65;147.94;124.17;20.69;35.97;6;0.12;311;51.83;581.7;96.95;849.3;141.55;775.11;129.18;1385.84;230.97;1502.09;250.35;658.88;109.81;1109.7;184.95;668.82;111.47;382.43;63.74;2665.24;2313.23;2927.35;3671.3;2;0.33;10;1.67
GEEKAY ESPORTS;$ARCHIE;35;26;74.29;14698;419.94;35;1;23;0.66;51;1.46;133;3.8;240;6.86;53;1.51;18;0.51;26.32;421.76;50.01;87913;2511.8;63518;1814.8;24395;697;783;22.37;2132;60.91;23957;684.49;15290;436.86;8667;247.63;181;5.17;743;21.23;1307.9;37.37;1428.81;40.82;15175;433.57;15025;429.29;2981;85.17;1573.65;18809452;537412.94;5395.9;154.17;4914.11;140.4;2317.11;66.2;6982.13;199.49;4792.05;136.92;852.97;24.37;207.09;5.92;0.12;1795;51.29;3931.2;112.32;4363.9;124.68;3706.4;105.9;8920.79;254.88;7420.27;212.01;5206.88;148.77;5501.06;157.17;3813.88;108.97;3312.25;94.64;2948.01;2848.38;3052.44;3777.92;46;1.31;44;1.26
STARTPOINT;AcroniK. 0;23;10;43.48;7750;336.96;14;0.61;9;0.39;34;1.48;47;2.04;222;9.65;55;2.39;25;1.09;29.79;464.66;50.56;63237;2749.43;48558;2111.22;14679;638.22;598;26;1242;54;14793;643.17;10255;445.87;4538;197.3;118;5.13;393;17.09;1028.28;44.71;1039.69;45.2;12150;528.26;11493;499.7;1630;70.87;1646.13;12940662;562637.5;3227.61;140.33;3051.94;132.69;2061.87;89.65;4252.31;184.88;3331.9;144.87;757.19;32.92;162.07;7.05;0.1;1644;71.48;2863.8;124.51;2746.9;119.43;2438.58;106.03;5902.83;256.64;5446.93;236.82;2894.49;125.85;4107.57;178.59;2515.3;109.36;1718.5;74.72;2933.14;2807.09;3048.49;3791.34;27;1.17;18;0.78
DIGNITAS;ApparentlyJack;19;13;68.42;6802;358;12;0.63;8;0.42;34;1.79;56;2.95;152;8;33;1.74;18;0.95;21.43;445.97;54.05;49867;2624.58;33060;1740;16807;884.58;416;21.89;1532;80.63;12342;649.58;7325;385.53;5017;264.05;87;4.58;450;23.68;698.92;36.79;804.19;42.33;8872;466.95;9348;492;1593;83.84;1635.56;10341025;544264.5;2568.8;135.2;2679.9;141.05;1404.78;73.94;3809.79;200.52;2439.29;128.38;404.48;21.29;140.74;7.41;0.09;1584;83.37;2155.4;113.44;2121.8;111.67;1858.97;97.84;4794.55;252.34;4304.83;226.57;2348.69;123.62;3154.17;166.01;2139.86;112.62;1359.54;71.55;2874.36;2841.33;2903.44;3704.1;39;2.05;13;0.68
KARMINE CORP;Atow Rikow !;24;17;70.83;9248;385.33;19;0.79;17;0.71;40;1.67;72;3;179;7.46;34;1.42;9;0.38;26.39;435.24;49.74;61182;2549.25;37084;1545.17;24098;1004.08;452;18.83;2143;89.29;15861;660.88;7481;311.71;8380;349.17;88;3.67;727;30.29;795.08;33.13;786.51;32.77;10550;439.58;9176;382.33;1457;60.71;1644.51;13129135;547047.31;3138.22;130.76;3730.76;155.45;1567.65;65.32;4690.52;195.44;3117.17;129.88;628.9;26.2;145.43;6.06;0.09;1607;66.96;2662.7;110.95;2721.1;113.38;2295.44;95.64;6141.16;255.88;5180.8;215.87;3255.8;135.66;3692;153.83;2849.18;118.72;1895.43;78.98;2804.75;2708.59;2890.82;3676.87;84;3.5;30;1.25
F4WD;Compact;8;2;25.00;2786;348.25;1;0.12;5;0.62;12;1.5;21;2.62;73;9.12;18;2.25;9;1.12;4.76;428.17;45.47;20630;2578.75;14489;1811.12;6141;767.62;174;21.75;535;66.88;5141;642.62;3243;405.38;1898;237.25;37;4.62;159;19.88;408.95;51.12;278.92;34.86;2169;271.12;2977;372.12;490;61.25;1620.12;4588580;573572.5;1133.6;141.7;1285.07;160.63;550.61;68.83;1470.7;183.84;1193.41;149.18;305.19;38.15;48.71;6.09;0.1;498;62.25;922.6;115.33;1040.2;130.02;908.51;113.56;2060.78;257.6;1890.09;236.26;1079.24;134.9;1360.54;170.07;950.17;118.77;658.62;82.33;2770.17;2594.68;2949.12;3736.94;9;1.12;16;2
SYNERGY;Dorito;12;4;33.33;4565;380.42;7;0.58;9;0.75;22;1.83;28;2.33;115;9.58;33;2.75;11;0.92;25;469.98;49.07;33695;2807.92;22970;1914.17;10725;893.75;272;22.67;951;79.25;9106;758.83;5366;447.17;3740;311.67;63;5.25;322;26.83;511.98;42.67;434.07;36.17;5190;432.5;4527;377.25;968;80.67;1616.16;6455804;537983.69;1795.87;149.66;1550.99;129.25;931.36;77.61;2326.78;193.9;1609.5;134.12;341.95;28.5;76.17;6.35;0.12;632;52.67;1264.8;105.4;1486.1;123.84;1322.78;110.23;2955.46;246.29;2713.21;226.1;1565.07;130.42;2014.55;167.88;1321.62;110.14;942.08;78.51;2735.08;2683.98;2749.87;3491.84;10;0.83;12;1
TEAM VITALITY;ExoTiiK;32;18;56.25;10467;327.09;22;0.69;27;0.84;32;1;94;2.94;255;7.97;65;2.03;19;0.59;23.4;399.92;46.91;74763;2336.34;52834;1651.06;21929;685.28;625;19.53;1848;57.75;16332;510.38;9943;310.72;6389;199.66;115;3.59;548;17.12;1631.34;50.98;1158.12;36.19;11530;360.31;9585;299.53;1441;45.03;1533.51;16484910;515153.44;5318.28;166.2;4429.63;138.43;1683.76;52.62;6318.55;197.45;4303.62;134.49;809.47;25.3;168.71;5.27;0.13;1314;41.06;3697.4;115.54;3774.2;117.94;3212.36;100.39;8219.3;256.85;7175.68;224.24;4255.93;133;5235.78;163.62;3743.69;116.99;2452.19;76.63;2742.38;2697.51;2782.91;3454.85;36;1.12;50;1.56
RRG;Gawfs;7;1;14.29;1705;243.57;0;0;6;0.86;7;1;13;1.86;60;8.57;17;2.43;5;0.71;0;391.68;49.68;16662;2380.29;10436;1490.86;6226;889.43;129;18.43;559;79.86;4197;599.57;2184;312;2013;287.57;26;3.71;179;25.57;270.59;38.66;276.08;39.44;2398;342.57;2579;368.43;443;63.29;1563.82;3673143;524734.69;1097.62;156.8;1000.89;142.98;380.55;54.36;1421.66;203.09;834.22;119.17;223.19;31.88;41.05;5.86;0.08;504;72;850.4;121.49;858.1;122.59;764.45;109.21;1714.6;244.94;1613.16;230.45;865.9;123.7;1155.44;165.06;847.6;121.09;475.98;68;2935.7;2811.58;3057.49;3682.34;8;1.14;10;1.43
ASCEND;GiuK;14;6;42.86;5123;365.93;5;0.36;7;0.5;33;2.36;16;1.14;125;8.93;28;2;3;0.21;31.25;437.69;48.05;36911;2636.5;25127;1794.79;11784;841.71;309;22.07;1014;72.43;8425;601.79;4972;355.14;3453;246.64;63;4.5;299;21.36;539.7;38.55;363.31;25.95;7142;510.14;5406;386.14;1021;72.93;1621.1;7805004;557500.31;1981.42;141.53;1970.59;140.76;1088.51;77.75;2656.13;189.72;2077.12;148.37;307.25;21.95;75.3;5.38;0.1;736;52.57;1744.2;124.59;1689.1;120.65;1579.29;112.81;3461.25;247.23;3352.16;239.44;1688.33;120.6;2560.93;182.92;1516.54;108.32;963.04;68.79;2740.44;2589.02;2863.75;3516.25;47;3.36;20;1.43
GEEKAY ESPORTS;Joyo;35;26;74.29;13600;388.57;21;0.6;29;0.83;54;1.54;118;3.37;240;6.86;53;1.51;21;0.6;17.8;427.76;49.73;89229;2549.4;62024;1772.11;27205;777.29;732;20.91;2359;67.4;20839;595.4;12634;360.97;8205;234.43;140;4;687;19.63;1445.37;41.3;1453.74;41.54;10955;313;12085;345.29;1558;44.51;1527.6;18237104;521060.12;5759.29;164.55;4914.6;140.42;1932.12;55.2;6658.94;190.26;4920.47;140.58;1026.61;29.33;270.68;7.73;0.09;2870;82;4623.9;132.11;3602.2;102.92;2953.23;84.38;9652.77;275.79;7998.38;228.53;4607.66;131.65;5711.06;163.17;4217.39;120.5;2677.59;76.5;2811.32;2707.56;2911.67;3759.2;33;0.94;45;1.29
REDEMPTION;Kash;18;6;33.33;5993;332.94;9;0.5;8;0.44;27;1.5;49;2.72;152;8.44;43;2.39;20;1.11;18.37;427.42;54.67;46229;2568.28;33020;1834.44;13209;733.83;434;24.11;1137;63.17;12369;687.17;8236;457.56;4133;229.61;97;5.39;359;19.94;617.2;34.29;696.68;38.7;7762;431.22;10636;590.89;1594;88.56;1609.87;9591508;532861.56;2531.2;140.62;2552.12;141.78;1207.2;67.07;3506.62;194.81;2325.91;129.22;457.97;25.44;96.44;5.36;0.09;1097;60.94;2080.6;115.59;2059.3;114.41;1880.87;104.49;4409.62;244.98;4067.36;225.96;2223.14;123.51;3059.84;169.99;1940.28;107.79;1290.35;71.69;2964.68;2741.86;3178.86;3728.88;19;1.06;24;1.33
CALIENTE;Kaydop;14;7;50.00;4671;333.64;9;0.64;8;0.57;20;1.43;33;2.36;95;6.79;24;1.71;10;0.71;27.27;438.85;43.52;34283;2448.79;22205;1586.07;12078;862.71;257;18.36;1033;73.79;8320;594.29;4278;305.57;4042;288.71;48;3.43;335;23.93;768.04;54.86;301.02;21.5;2978;212.71;3502;250.14;539;38.5;1598.32;7289898;520707;1902.67;135.9;2060.03;147.15;827.32;59.09;2195.31;156.81;2248.93;160.64;345.74;24.7;150.76;10.77;0.11;1375;98.21;1654.4;118.17;1371;97.93;1211.71;86.55;3578.31;255.59;3023.12;215.94;1766.89;126.21;2195.94;156.85;1558.21;111.3;1035.86;73.99;2857.94;2804.19;2913.12;3729.68;5;0.36;15;1.07
100%;LuiisP;23;12;52.17;8143;354.04;19;0.83;11;0.48;27;1.17;69;3;196;8.52;45;1.96;16;0.7;27.54;411.77;49.45;57306;2491.57;38666;1681.13;18640;810.43;462;20.09;1618;70.35;11835;514.57;7085;308.04;4750;206.52;81;3.52;421;18.3;1063.46;46.24;767.59;33.37;7389;321.26;8003;347.96;1093;47.52;1511.4;12076914;525083.19;4038.01;175.57;3143.97;136.69;1264.08;54.96;4661.87;202.69;3239.07;140.83;545.17;23.7;132.24;5.75;0.13;1023;44.48;2748.1;119.48;2695.4;117.19;2175.11;94.57;6271;272.65;5564.66;241.94;2881.44;125.28;4106.35;178.54;2676.38;116.36;1663.33;72.32;2868.41;2822.53;2909.62;3879.68;46;2;30;1.3
TEAM VITALITY;M0nkey M00n;32;18;56.25;13579;424.34;27;0.84;23;0.72;69;2.16;84;2.62;255;7.97;65;2.03;11;0.34;32.14;373.22;48.54;71577;2236.78;44693;1396.66;26884;840.12;518;16.19;2323;72.59;15328;479;7080;221.25;8248;257.75;85;2.66;698;21.81;1207.49;37.73;824.27;25.76;10239;319.97;6812;212.88;1440;45;1517.45;16327333;510229.16;5465.78;170.81;4267.28;133.35;1719.25;53.73;6541.1;204.41;4175.06;130.47;736.08;23;166.08;5.19;0.12;1414;44.19;3621.1;113.16;3497.5;109.3;2965.4;92.67;8486.89;265.22;7148.24;223.38;4304.08;134.5;5310.4;165.95;3574.84;111.71;2567.01;80.22;2668.46;2574.66;2745.34;3392.97;36;1.12;44;1.38
TEAM JJROX;MaRc_By_8.;12;4;33.33;3864;322;6;0.5;4;0.33;20;1.67;24;2;119;9.92;28;2.33;14;1.17;25;418.22;43.24;28027;2335.58;18967;1580.58;9060;755;212;17.67;797;66.42;5813;484.42;3126;260.5;2687;223.92;34;2.83;232;19.33;682.74;56.9;266.78;22.23;3944;328.67;2107;175.58;290;24.17;1529.12;5986291;498857.59;1921.94;160.16;1593.3;132.78;625.6;52.13;2345.69;195.47;1541.62;128.47;253.51;21.13;103.64;8.64;0.09;1209;100.75;1452.4;121.03;1244.7;103.73;1106.92;92.24;3033.93;252.83;2862.14;238.51;1278.69;106.56;2206.98;183.91;1195.9;99.66;737.95;61.5;2733.08;2656.93;2800.3;3550.28;11;0.92;13;1.08
ASCEND;Mat.;14;6;42.86;4259;304.21;7;0.5;6;0.43;18;1.29;21;1.5;125;8.93;28;2;14;1;33.33;418.3;45.83;34390;2456.43;21581;1541.5;12809;914.93;247;17.64;1114;79.57;7760;554.29;3774;269.57;3986;284.71;44;3.14;331;23.64;598.11;42.72;319.04;22.79;2404;171.71;2832;202.29;431;30.79;1508.58;7264058;518861.28;2288.42;163.46;2139.36;152.81;610.89;43.64;2340.43;167.17;2273.38;162.38;424.85;30.35;99.47;7.11;0.11;921;65.79;1363.5;97.39;1769.6;126.4;1635.61;116.83;3403.06;243.08;3359.84;239.99;1678.79;119.91;2563.64;183.12;1482.41;105.89;992.63;70.9;2628.04;2544.54;2681.85;3457.16;14;1;21;1.5
F4WD;Mikeboy;8;2;25.00;2905;363.12;5;0.62;2;0.25;13;1.62;32;4;73;9.12;18;2.25;8;1;15.62;425.34;52.1;21053;2631.62;13392;1674;7661;957.62;172;21.5;648;81;5490;686.25;3253;406.62;2237;279.62;40;5;194;24.25;314.58;39.32;336.89;42.11;3683;460.38;3905;488.12;588;73.5;1591.17;4536434;567054.25;1241.17;155.15;1192.16;149.02;554.69;69.34;1723.16;215.39;1076.33;134.54;188.54;23.57;61.31;7.66;0.11;562;70.25;1031.9;128.99;966.7;120.84;865.47;108.18;2122.57;265.32;1938.17;242.27;1049.86;131.23;1424.83;178.1;966.26;120.78;596.95;74.62;2944.16;2866.99;3023.99;3767.54;14;1.75;11;1.38
STARTPOINT;Mittaen;23;10;43.48;7867;342.04;11;0.48;12;0.52;37;1.61;56;2.43;222;9.65;55;2.39;14;0.61;19.64;416.3;47.58;57214;2487.57;35170;1529.13;22044;958.43;436;18.96;1901;82.65;13575;590.22;6365;276.74;7210;313.48;78;3.39;610;26.52;888.17;38.62;960.96;41.78;10826;470.7;8588;373.39;1599;69.52;1556.89;12172892;529256.19;3680.97;160.04;3339.84;145.21;1266.02;55.04;4698.68;204.29;2959.31;128.67;628.79;27.34;168.13;7.31;0.09;1866;81.13;2652.9;115.34;2594.6;112.81;2363.11;102.74;5923.63;257.55;5425.27;235.88;2861.49;124.41;3985.17;173.27;2701.25;117.45;1600.33;69.58;2748.24;2674.64;2805.62;3691.09;44;1.91;36;1.57
ASCEND;Nico;14;6;42.86;5115;365.36;7;0.5;4;0.29;25;1.79;31;2.21;125;8.93;28;2;11;0.79;22.58;421.23;48.8;35787;2556.21;26123;1865.93;9664;690.29;325;23.21;822;58.71;9000;642.86;5962;425.86;3038;217;69;4.93;250;17.86;516.14;36.87;557.72;39.84;6063;433.07;6410;457.86;964;68.86;1546.71;7437891;531277.94;2231.85;159.42;1960.77;140.05;839.75;59.98;2941.21;210.09;1754.63;125.33;336.52;24.04;89.03;6.36;0.12;708;50.57;1918.2;137.01;1434.7;102.48;1335.16;95.37;3697.23;264.09;3507.93;250.57;1524.46;108.89;2682.6;191.61;1531.07;109.36;818.72;58.48;2783.69;2697.8;2851.86;3535.61;13;0.93;23;1.64
NIP;Oski;23;10;43.48;8672;377.04;15;0.65;13;0.57;31;1.35;88;3.83;174;7.57;50;2.17;18;0.78;17.05;440.03;45.72;57174;2485.83;39514;1718;17660;767.83;466;20.26;1512;65.74;14134;614.52;8238;358.17;5896;256.35;96;4.17;506;22;1132.5;49.24;929.82;40.43;6715;291.96;7047;306.39;1300;56.52;1534.17;11574011;503217.88;3712.36;161.41;2956.34;128.54;1336.29;58.1;4317.93;187.74;3102.31;134.88;584.76;25.42;218.34;9.49;0.11;1923;83.61;2605.8;113.3;2564;111.48;2159.47;93.89;5845.56;254.15;4894.24;212.79;3110.75;135.25;3660.98;159.17;2416.41;105.06;1927.61;83.81;2680.73;2569.73;2790.66;3609.8;16;0.7;35;1.52
RRG;Rizex;7;1;14.29;3073;439;6;0.86;1;0.14;15;2.14;17;2.43;60;8.57;17;2.43;5;0.71;35.29;385.48;51.77;16494;2356.29;10720;1531.43;5774;824.86;134;19.14;485;69.29;3406;486.57;1633;233.29;1773;253.29;21;3;146;20.86;277.86;39.69;410.74;58.68;2124;303.43;2877;411;542;77.43;1491.75;3532979;504711.28;1233.2;176.17;873.72;124.82;390.29;55.76;1374.42;196.35;934.1;133.44;188.69;26.96;46.87;6.7;0.09;516;73.71;834.9;119.27;721.6;103.09;689.75;98.54;1807.47;258.21;1650.75;235.82;846.46;120.92;1212.58;173.23;821.93;117.42;462.7;66.1;2770.04;2563.47;2958.84;3568.36;9;1.29;4;0.57
TEAM JJROX;Rxii;12;4;33.33;4351;362.58;4;0.33;6;0.5;26;2.17;25;2.08;119;9.92;28;2.33;6;0.5;16;376.07;50.17;25395;2116.25;16863;1405.25;8532;711;206;17.17;726;60.5;5745;478.75;3174;264.5;2571;214.25;37;3.08;212;17.67;541.46;45.12;401.23;33.44;2907;242.25;3380;281.67;378;31.5;1505.33;5915607;492967.25;2017.96;168.16;1556.12;129.68;575.9;47.99;2140.07;178.34;1667.02;138.92;342.86;28.57;77.65;6.47;0.12;673;56.08;1228.6;102.38;1464.5;122.04;1306.48;108.87;2843.5;236.96;2760.44;230.04;1389.54;115.79;2099.58;174.97;1242.14;103.51;808.25;67.35;2719.99;2608.34;2823.54;3571.67;15;1.25;9;0.75
RRG;Rysfox.;7;1;14.29;2352;336;4;0.57;2;0.29;10;1.43;17;2.43;60;8.57;17;2.43;7;1;23.53;451.36;46.68;17760;2537.14;12809;1829.86;4951;707.29;155;22.14;434;62;4712;673.14;2822;403.14;1890;270;34;4.86;165;23.57;259.84;37.12;271.35;38.76;2686;383.71;2305;329.29;437;62.43;1598.28;3752642;536091.69;1022.87;146.12;1003.28;143.33;455.95;65.14;1305.11;186.44;1009.52;144.22;167.5;23.93;49.12;7.02;0.1;475;67.86;751.2;107.31;809.2;115.6;803.42;114.77;1678.68;239.81;1549.52;221.36;932.58;133.23;1089.25;155.61;861.53;123.08;531.36;75.91;2698.53;2622.01;2785.2;3566.17;7;1;9;1.29
M8 ALPINE;Seikoo;10;4;40.00;3246;324.6;5;0.5;3;0.3;15;1.5;21;2.1;81;8.1;29;2.9;10;1;23.81;389.03;49.32;21789;2178.9;14411;1441.1;7378;737.8;174;17.4;626;62.6;5258;525.8;2398;239.8;2860;286;27;2.7;223;22.3;334.48;33.45;406.63;40.66;2807;280.7;3053;305.3;415;41.5;1524.54;4937365;493736.5;1657.2;165.72;1314.12;131.41;471.22;47.12;1986.41;198.64;1206.67;120.67;249.45;24.94;74.97;7.5;0.11;647;64.7;1203.1;120.31;1057.9;105.79;1004.06;100.41;2438.46;243.85;2121.35;212.13;1321.18;132.12;1558.62;155.86;1068.96;106.9;814.94;81.49;2790.33;2537.01;3018.51;3454.98;5;0.5;19;1.9
REDEMPTION;Smokez;18;6;33.33;5670;315;10;0.56;6;0.33;25;1.39;46;2.56;152;8.44;43;2.39;12;0.67;21.74;409.65;47.81;43179;2398.83;29487;1638.17;13692;760.67;365;20.28;1230;68.33;10136;563.11;5991;332.83;4145;230.28;70;3.89;378;21;626.09;34.78;628.33;34.91;5125;284.72;7176;398.67;1046;58.11;1529.09;9066010;503667.22;2859.89;158.88;2498.43;138.8;898.02;49.89;3503.7;194.65;2324.8;129.16;427.82;23.77;126.47;7.03;0.12;1057;58.72;2102.6;116.81;2020.6;112.26;1896.23;105.35;4360.11;242.23;4103.37;227.97;2152.97;119.61;3068.52;170.47;1931.05;107.28;1256.76;69.82;2904.48;2862.82;2935.3;3687.62;15;0.83;31;1.72
