team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
DIGNITAS;joreuz;19;13;68.42;7020;369.47;16;0.84;9;0.47;26;1.37;45;2.37;152;8;33;1.74;8;0.42;35.56;399.54;53.96;44929;2364.68;30469;1603.63;14460;761.05;394;20.74;1261;66.37;11784;620.21;7450;392.11;4334;228.11;94;4.95;375;19.74;660.17;34.75;773.99;40.74;7094;373.37;9299;489.42;1996;105.05;1566.08;9851472;518498.53;2889.11;152.06;2580.18;135.8;1160.78;61.09;3645.89;191.89;2513.48;132.29;470.7;24.77;123.31;6.49;0.13;988;52;2290.9;120.57;2135.8;112.41;1868.47;98.34;4761.6;250.61;4348.35;228.86;2281.72;120.09;3120.44;164.23;2213.72;116.51;1295.98;68.21;2963.16;2876.22;3066.72;3739.22;23;1.21;19;1
M8 ALPINE;juicy;10;4;40.00;3275;327.5;5;0.5;7;0.7;13;1.3;25;2.5;81;8.1;29;2.9;10;1;20;412;47.95;24112;2411.2;15796;1579.6;8316;831.6;200;20;727;72.7;7798;779.8;4225;422.5;3573;357.3;52;5.2;316;31.6;340.09;34.01;374.39;37.44;3409;340.9;4360;436;991;99.1;1620.76;5290942;529094.19;1420.07;142.01;1305.65;130.57;743.04;74.3;1780.49;178.05;1349.73;134.97;338.52;33.85;66.6;6.66;0.09;724;72.4;1099.6;109.96;1214.4;121.44;1099.19;109.92;2369.57;236.96;2031.04;203.1;1437.7;143.77;1489.91;148.99;1080.74;108.07;898.1;89.81;2672.46;2547.36;2786;3531.48;25;2.5;10;1
NIP;nass;23;10;43.48;9232;401.39;20;0.87;13;0.57;41;1.78;71;3.09;174;7.57;50;2.17;11;0.48;28.17;417.43;49.61;55984;2434.09;40281;1751.35;15703;682.74;498;21.65;1402;60.96;13892;604;8763;381;5129;223;104;4.52;459;19.96;760.81;33.08;1476.47;64.19;9385;408.04;9942;432.26;1781;77.43;1577.19;11907964;517737.56;3504.42;152.37;3221.51;140.07;1271.51;55.28;4636;201.57;2763.05;120.13;598.37;26.02;146.23;6.36;0.11;1360;59.13;2742.2;119.23;2544.9;110.65;2228.73;96.9;5768.7;250.81;5079.61;220.85;2917.77;126.86;3599.89;156.52;2736.23;118.97;1661.28;72.23;2974.43;2884.16;3066.12;3695.18;26;1.13;40;1.74
GEEKAY ESPORTS;oaly.;35;26;74.29;13255;378.71;32;0.91;22;0.63;48;1.37;108;3.09;240;6.86;53;1.51;14;0.4;29.63;437.68;47.35;90421;2583.46;58725;1677.86;31696;905.6;705;20.14;2728;77.94;24591;702.6;13570;387.71;11021;314.89;162;4.63;911;26.03;1589.35;45.41;1180.61;33.73;14366;410.46;12229;349.4;2634;75.26;1611.49;19250508;550014.5;5114.32;146.12;5172;147.77;2323.35;66.38;6867.98;196.23;4721.95;134.91;1019.69;29.13;263.22;7.52;0.1;2610;74.57;3899;111.4;4198.5;119.96;3522.63;100.65;9086.97;259.63;7603.5;217.24;5006.04;143.03;5410.19;154.58;4207.58;120.22;2991.78;85.48;2796.29;2679.04;2921.6;3735.98;46;1.31;50;1.43
M8 ALPINE;radosinho;10;4;40.00;3018;301.8;5;0.5;2;0.2;14;1.4;26;2.6;81;8.1;29;2.9;9;0.9;19.23;387.74;44.94;22228;2222.8;14068;1406.8;8160;816;170;17;700;70;5512;551.2;2547;254.7;2965;296.5;29;2.9;245;24.5;375.82;37.58;308.45;30.84;2731;273.1;3031;303.1;393;39.3;1529.62;4948901;494890.09;1576.44;157.64;1373.2;137.32;491.22;49.12;1941.73;194.17;1301.74;130.17;197.33;19.73;59.53;5.95;0.13;459;45.9;1135.2;113.52;1059.2;105.92;969.49;96.95;2471.35;247.14;2079.8;207.98;1361.03;136.1;1532.79;153.28;1058.56;105.86;849.5;84.95;2575.26;2383.5;2732.79;3378.84;17;1.7;16;1.6
100%;rehzzy;23;12;52.17;8862;385.3;12;0.52;17;0.74;41;1.78;59;2.57;196;8.52;45;1.96;13;0.57;20.34;367.04;54.94;52911;2300.48;40137;1745.09;12774;555.39;536;23.3;1154;50.17;12922;561.83;8950;389.13;3972;172.7;111;4.83;342;14.87;680.52;29.59;1701.17;73.96;5906;256.78;13684;594.96;2204;95.83;1550.84;12380247;538271.62;3830.44;166.54;3220.16;140.01;1404.28;61.06;4534.21;197.14;3262.66;141.85;658;28.61;113.79;4.95;0.12;972;42.26;2809.1;122.13;2810.9;122.21;2247.7;97.73;6207.14;269.88;5574.45;242.37;2880.45;125.24;4123.67;179.29;2657.27;115.53;1673.9;72.78;3121.17;3000.76;3239.78;3985.31;32;1.39;26;1.13
CALIENTE;saizen;14;7;50.00;4260;304.29;9;0.64;4;0.29;16;1.14;39;2.79;95;6.79;24;1.71;7;0.5;23.08;452.78;53.35;36449;2603.5;23497;1678.36;12952;925.14;301;21.5;1157;82.64;11649;832.07;6705;478.93;4944;353.14;86;6.14;446;31.86;379.31;27.09;394.75;28.2;7419;529.93;6775;483.93;1854;132.43;1672.04;7615432;543959.44;1727.41;123.39;1909.21;136.37;1149.01;82.07;2622.28;187.31;1837.77;131.27;325.56;23.25;83.49;5.96;0.12;688;49.14;1425.9;101.85;1774.7;126.76;1478.42;105.6;3307.18;236.23;2760.71;197.19;2024.88;144.63;1936.47;138.32;1621.97;115.85;1227.19;87.66;2958.2;2808.85;3096.93;3820.94;24;1.71;13;0.93
DIGNITAS;stizzy;19;13;68.42;6593;347;9;0.47;9;0.47;37;1.95;47;2.47;152;8;33;1.74;7;0.37;19.15;409.16;51.38;45905;2416.05;30986;1630.84;14919;785.21;380;20;1319;69.42;9517;500.89;4863;255.95;4654;244.95;62;3.26;406;21.37;500.91;26.36;936.3;49.28;5372;282.74;7492;394.32;1404;73.89;1562.6;9856396;518757.69;2937.31;154.6;2560.22;134.75;1141.16;60.06;3520.01;185.26;2595.24;136.59;523.46;27.55;142.26;7.49;0.1;1412;74.32;2054.2;108.12;2108.9;110.99;1763.56;92.82;4875.11;256.58;4260.79;224.25;2377.91;125.15;3094.92;162.89;2185.32;115.02;1358.44;71.5;2751.77;2624.72;2857.56;3645.39;20;1.05;16;0.84
SYNERGY;tehqoz;12;4;33.33;5869;489.08;12;1;11;0.92;26;2.17;38;3.17;115;9.58;33;2.75;10;0.83;31.58;442.1;46.84;31058;2588.17;20790;1732.5;10268;855.67;253;21.08;906;75.5;7868;655.67;4368;364;3500;291.67;51;4.25;304;25.33;542.72;45.23;280.2;23.35;3581;298.42;3367;280.58;456;38;1651.65;6584329;548694.06;1677.29;139.77;1589.56;132.46;999.02;83.25;2051.36;170.95;1912.95;159.41;301.54;25.13;101.74;8.48;0.09;1082;90.17;1396.2;116.35;1332.3;111.03;1179.49;98.29;3086.37;257.2;2781.19;231.77;1484.69;123.72;2086.16;173.85;1312.08;109.34;867.62;72.3;2739.93;2669.3;2805.59;3515.45;20;1.67;16;1.33
REDEMPTION;uncle bill;6;0;0.00;2200;366.67;3;0.5;2;0.33;16;2.67;9;1.5;80;13.33;31;5.17;16;2.67;33.33;351.59;51.14;12825;2137.5;8353;1392.17;4472;745.33;105;17.5;386;64.33;1717;286.17;751;125.17;966;161;9;1.5;88;14.67;138.15;23.02;163.39;27.23;816;136;2272;378.67;168;28;1463.57;2910599;485099.84;1072.39;178.73;852.64;142.11;226.08;37.68;1187.93;197.99;808.1;134.68;155.11;25.85;44.27;7.38;0.09;510;85;896.8;149.47;538.2;89.7;583.22;97.2;1567.91;261.32;1626.76;271.13;524.37;87.39;1300.79;216.8;564.86;94.14;285.47;47.58;3022.08;2955.72;3088.22;3728.1;3;0.5;14;2.33
STARTPOINT;yujin;23;10;43.48;9870;429.13;20;0.87;14;0.61;49;2.13;64;2.78;222;9.65;55;2.39;16;0.7;31.25;403.08;46.66;55993;2434.48;37892;1647.48;18101;787;444;19.3;1572;68.35;12509;543.87;7559;328.65;4950;215.22;86;3.74;431;18.74;961.18;41.79;1340.65;58.29;6311;274.39;6741;293.09;1154;50.17;1575.95;12401208;539182.94;3575.81;155.47;3377.51;146.85;1374.23;59.75;4415.05;191.96;3218.34;139.93;694.13;30.18;138.01;6;0.14;978;42.52;2645.7;115.03;2640.8;114.82;2313.16;100.57;6014.4;261.5;5474.43;238.02;2853.12;124.05;4004.75;174.12;2742.66;119.25;1580.15;68.7;2909.6;2727.13;3072.2;3762.6;23;1;26;1.13
TEAM VITALITY;zen;32;18;56.25;15213;475.41;39;1.22;24;0.75;58;1.81;131;4.09;255;7.97;65;2.03;35;1.09;29.77;432.05;50.02;82447;2576.47;59370;1855.31;23077;721.16;720;22.5;2026;63.31;20426;638.31;12879;402.47;7547;235.84;150;4.69;658;20.56;1319.49;41.23;1491.46;46.61;14579;455.59;13101;409.41;2190;68.44;1590.73;17178430;536825.94;4787.06;149.6;4456.61;139.27;2230.12;69.69;5998.11;187.44;4461.98;139.44;1013.64;31.68;184.45;5.76;0.1;1871;58.47;3918.6;122.46;3653.9;114.18;2911.57;90.99;8562.18;267.57;7271.27;227.23;4202.54;131.33;5427.94;169.62;3582.72;111.96;2463.06;76.97;2682.38;2476.55;2894.03;3459.26;42;1.31;39;1.22
